Date,Transaction
1/11/17,Minnesota Twins signed free agent RHP Ryan Vogelsong to a minor league contract and invited him to spring training.
1/11/17,Minnesota Twins signed free agent RHP Nick Tepesch to a minor league contract and invited him to spring training.
1/11/17,Baltimore Orioles invited non-roster C Audry Perez to spring training.
1/11/17,Baltimore Orioles invited non-roster C Chance Sisco to spring training.
1/11/17,Baltimore Orioles invited non-roster C Austin Wynns to spring training.
1/11/17,Baltimore Orioles invited non-roster RHP Richard Rodriguez to spring training.
1/11/17,San Diego Padres signed free agent RHP Francisco Mendoza to a minor league contract.
1/11/17,Philadelphia Phillies signed free agent RHP Santy Prada to a minor league contract.
1/11/17,Philadelphia Phillies signed free agent RHP Ramiro Soto to a minor league contract.
1/11/17,Philadelphia Phillies signed free agent LHP Gabriel Yanez to a minor league contract.
1/11/17,Los Angeles Dodgers signed free agent 3B Jose Fernandez to a minor league contract.
1/11/17,Texas Rangers signed free agent 3B Luis La O to a minor league contract.
1/11/17,Chicago White Sox signed free agent C Carson Blair to a minor league contract and invited him to spring training.
1/11/17,Seattle Mariners signed free agent LF Willie Argo to a minor league contract.
1/11/17,Miami Marlins signed free agent RHP Brandon Cunniff to a minor league contract.
1/11/17,Miami Marlins signed free agent LF Boo Vazquez to a minor league contract.
1/11/17,Washington Nationals signed free agent 3B Alex Santana to a minor league contract.
1/11/17,LF Willie Argo roster status changed by Seattle Mariners.
1/12/17,Miami Marlins invited non-roster LHP Nick Maronde to spring training.
1/12/17,Miami Marlins invited non-roster LHP Dillon Peters to spring training.
1/12/17,Miami Marlins invited non-roster LHP Matt Tomshaw to spring training.
1/12/17,Miami Marlins invited non-roster C Chris Hoo to spring training.
1/12/17,Miami Marlins invited non-roster C Cam Maron to spring training.
1/12/17,Miami Marlins invited non-roster C Rodrigo Vigil to spring training.
1/12/17,Miami Marlins invited non-roster 3B Matt Juengel to spring training.
1/12/17,Miami Marlins invited non-roster 3B Brian Anderson to spring training.
1/12/17,Miami Marlins signed free agent C Ramon Cabrera to a minor league contract and invited him to spring training.
1/12/17,Milwaukee Brewers invited non-roster RHP Stephen Kohlscheen to spring training.
1/12/17,Chicago White Sox signed free agent LHP Cory Luebke to a minor league contract and invited him to spring training.
1/12/17,Washington Nationals signed free agent 3B Irving Falu to a minor league contract.
1/12/17,Minnesota Twins signed free agent C Chris Gimenez to a minor league contract and invited him to spring training.
1/12/17,Texas Rangers signed free agent C Carlos Maldonado to a minor league contract.
1/13/17,Houston Astros invited non-roster 3B J.D. Davis to spring training.
1/13/17,Houston Astros invited non-roster OF Derek Fisher to spring training.
1/13/17,Houston Astros invited non-roster RHP Edison Frias to spring training.
1/13/17,Houston Astros invited non-roster OF Alejandro Garcia to spring training.
1/13/17,Tyler Heineman assigned to Houston Astros.
1/13/17,Houston Astros invited non-roster LHP Brian Holmes to spring training.
1/13/17,Houston Astros invited non-roster RHP Jordan Jankowski to spring training.
1/13/17,Houston Astros invited non-roster RF Jon Kemmer to spring training.
1/13/17,Houston Astros invited non-roster OF Ramon Laureano to spring training.
1/13/17,Houston Astros invited non-roster RHP Francis Martes to spring training.
1/13/17,Houston Astros invited non-roster RHP Tyson Perez to spring training.
1/13/17,Houston Astros invited non-roster 1B Jon Singleton to spring training.
1/13/17,Houston Astros invited non-roster RHP Cy Sneed to spring training.
1/13/17,Houston Astros invited non-roster C Garrett Stubbs to spring training.
1/13/17,Houston Astros invited non-roster RHP Aaron West to spring training.
1/13/17,Los Angeles Dodgers traded 2B Micah Johnson to Atlanta Braves for Player To Be Named Later.
1/13/17,Cleveland Indians signed free agent RHP Steve Delabar to a minor league contract and invited him to spring training.
1/13/17,Seattle Mariners sent RHP Cody Martin outright to Tacoma Rainiers.
1/13/17,Arizona Diamondbacks signed free agent C Chris Iannetta.
1/13/17,Arizona Diamondbacks designated C Juan Graterol for assignment.
1/13/17,Texas Rangers signed free agent P Michael Lagrange to a minor league contract.
1/13/17,Colorado Rockies signed free agent RHP Nelson Gonzalez to a minor league contract.
1/13/17,Colorado Rockies signed free agent OF Chris Denorfia to a minor league contract and invited him to spring training.
1/14/17,Baltimore Orioles signed free agent RHP Mario Alcantara to a minor league contract.
1/14/17,Baltimore Orioles signed free agent LHP Tim Berry to a minor league contract.
1/14/17,New York Yankees signed free agent 1B Ji-Man Choi to a minor league contract and invited him to spring training.
1/14/17,Texas Rangers signed free agent 1B Jacob Rogers to a minor league contract.
1/16/17,New York Mets signed free agent LHP Adam Wilk to a minor league contract and invited him to spring training.
1/16/17,Baltimore Orioles signed free agent 1B Jesus Montero to a minor league contract.
1/16/17,San Diego Padres signed free agent LF Nick Buss to a minor league contract and invited him to spring training.
1/16/17,Chicago Cubs signed free agent 3B Chris Dominguez to a minor league contract and invited him to spring training.
1/17/17,Texas Rangers signed free agent 1B Josh Hamilton to a minor league contract and invited him to spring training.
1/17/17,Texas Rangers signed free agent RHP Dillon Gee to a minor league contract and invited him to spring training.
1/17/17,Chicago Cubs claimed RHP Dylan Floro off waivers from Tampa Bay Rays.
1/17/17,Colorado Rockies signed free agent LF Alexi Amarista.
1/17/17,San Diego Padres signed free agent P Brayan Rosario to a minor league contract.
1/17/17,Los Angeles Dodgers signed free agent 3B Drew Maggi to a minor league contract.
1/17/17,Texas Rangers signed free agent LHP Jeff Malm to a minor league contract.
1/18/17,Toronto Blue Jays signed free agent RF Jose Bautista.
1/18/17,Pittsburgh Pirates signed free agent 1B Joey Terdoslavich to a minor league contract and invited him to spring training.
1/18/17,Oakland Athletics designated RHP Zach Neal for assignment.
1/18/17,Oakland Athletics signed free agent 3B Trevor Plouffe.
1/18/17,Boston Red Sox invited non-roster 1B Allen Craig to spring training.
1/18/17,Boston Red Sox invited non-roster 3B Rafael Devers to spring training.
1/18/17,Boston Red Sox invited non-roster 1B Sam Travis to spring training.
1/18/17,Boston Red Sox invited non-roster C Jordan Procyshen to spring training.
1/18/17,Boston Red Sox invited non-roster OF Rusney Castillo to spring training.
1/18/17,Boston Red Sox signed free agent RHP Kyle Kendrick to a minor league contract and invited him to spring training.
1/18/17,Boston Red Sox invited non-roster RHP Chandler Shepherd to spring training.
1/18/17,Boston Red Sox invited non-roster RHP Ben Taylor to spring training.
1/18/17,Tampa Bay Rays traded CF Mikie Mahtook to Detroit Tigers for Player To Be Named Later.
1/18/17,Detroit Tigers designated CF Anthony Gose for assignment.
1/18/17,Oakland Athletics signed free agent LHP Ross Detwiler to a minor league contract and invited him to spring training.
1/18/17,San Diego Padres signed free agent RHP Barry Enright to a minor league contract.
1/18/17,Arizona Diamondbacks signed free agent RF Gregor Blanco to a minor league contract and invited him to spring training.
1/18/17,New York Mets signed free agent C Jeff Glenn to a minor league contract.
1/19/17,"Cincinnati Reds traded RHP Dan Straily to Miami Marlins for RHP Austin Brice, RHP Luis Castillo and CF Zeke White."
1/19/17,Milwaukee Brewers signed free agent RHP Neftali Feliz.
1/19/17,Philadelphia Phillies signed free agent RF Michael Saunders.
1/19/17,Texas Rangers signed free agent RHP Tyson Ross.
1/19/17,Texas Rangers designated RHP Brady Dragmire for assignment.
1/19/17,Los Angeles Angels claimed C Juan Graterol off waivers from Arizona Diamondbacks.
1/19/17,Los Angeles Angels designated RHP Blake Parker for assignment.
1/19/17,Cincinnati Reds designated RF Steve Selsky for assignment.
1/19/17,Philadelphia Phillies designated RHP Severino Gonzalez for assignment.
1/19/17,Toronto Blue Jays invited non-roster 2B Jon Berti to spring training.
1/19/17,Toronto Blue Jays invited non-roster RHP Wil Browning to spring training.
1/19/17,Toronto Blue Jays invited non-roster RHP Conner Greene to spring training.
1/19/17,Toronto Blue Jays invited non-roster LHP Tim Mayza to spring training.
1/19/17,Toronto Blue Jays invited non-roster C Reese McGuire to spring training.
1/19/17,Toronto Blue Jays invited non-roster LF Dwight Smith Jr. to spring training.
1/19/17,Toronto Blue Jays invited non-roster 1B Rowdy Tellez to spring training.
1/19/17,Cleveland Indians signed free agent LHP Kelvin De La Cruz to a minor league contract.
1/19/17,Philadelphia Phillies signed free agent RHP Ruben Aponte to a minor league contract.
1/20/17,Baltimore Orioles signed free agent DH Mark Trumbo.
1/20/17,Baltimore Orioles designated LF Adam Walker for assignment.
1/20/17,Oakland Athletics signed free agent RHP Santiago Casilla.
1/20/17,Oakland Athletics designated RF Brett Eibner for assignment.
1/20/17,Oakland Athletics signed free agent LF Alejandro De Aza to a minor league contract and invited him to spring training.
1/20/17,Cleveland Indians invited non-roster SS Eric Stamets to spring training.
1/20/17,Cleveland Indians invited non-roster RHP Josh Martin to spring training.
1/20/17,Cleveland Indians invited non-roster LHP Tyler Olson to spring training.
1/20/17,Cleveland Indians invited non-roster 1B Nellie Rodriguez to spring training.
1/20/17,Cleveland Indians invited non-roster 2B Ronny Rodriguez to spring training.
1/20/17,Cleveland Indians invited non-roster CF Greg Allen to spring training.
1/20/17,Cleveland Indians invited non-roster OF Yandy Diaz to spring training.
1/20/17,Cleveland Indians invited non-roster CF Bradley Zimmer to spring training.
1/20/17,San Diego Padres signed free agent RHP Trevor Cahill.
1/20/17,San Diego Padres designated Jabari Blash for assignment.
1/20/17,Baltimore Orioles signed free agent RHP Zach Stewart to a minor league contract and invited him to spring training.
1/20/17,Los Angeles Angels signed free agent 2B Manuel Guzman to a minor league contract.
1/21/17,Cincinnati Reds signed free agent RHP Juan Manuel Abril to a minor league contract.
1/21/17,Atlanta Braves signed free agent RHP Blaine Boyer to a minor league contract and invited him to spring training.
1/21/17,Kansas City Royals signed free agent SS Dean Anna to a minor league contract.
1/22/17,"Kansas City Royals RHP Yordano Ventura died, January 22, 2017."
1/22/17,Seattle Mariners signed free agent RHP Jean Machi to a minor league contract and invited him to spring training.
1/22/17,Toronto Blue Jays signed free agent 2B Gregorio Petit to a minor league contract and invited him to spring training.
1/23/17,Chicago White Sox invited non-roster LHP David Holmberg to spring training.
1/23/17,Chicago White Sox signed free agent RHP Blake Smith to a minor league contract and invited him to spring training.
1/23/17,Chicago White Sox signed free agent RHP Anthony Swarzak to a minor league contract and invited him to spring training.
1/23/17,Chicago White Sox invited non-roster RHP Spencer Adams to spring training.
1/23/17,Chicago White Sox invited non-roster RHP Zack Burdi to spring training.
1/23/17,Chicago White Sox invited non-roster RHP Michael Kopech to spring training.
1/23/17,Chicago White Sox invited non-roster LHP Brian Clark to spring training.
1/23/17,Chicago White Sox invited non-roster LHP Aaron Bummer to spring training.
1/23/17,Chicago White Sox invited non-roster LHP Jace Fry to spring training.
1/23/17,Chicago White Sox invited non-roster LHP Matt Purke to spring training.
1/23/17,Chicago White Sox invited non-roster C Zack Collins to spring training.
1/23/17,Chicago White Sox invited non-roster 3B Nicky Delmonico to spring training.
1/23/17,Chicago White Sox invited non-roster 1B Danny Hayes to spring training.
1/23/17,Chicago White Sox invited non-roster OF Courtney Hawkins to spring training.
1/23/17,Toronto Blue Jays claimed Juan Graterol off waivers from Los Angeles Angels.
1/23/17,Toronto Blue Jays designated RHP Leonel Campos for assignment.
1/23/17,Tampa Bay Rays signed free agent RHP Shawn Tolleson.
1/23/17,Tampa Bay Rays traded 2B Logan Forsythe to Los Angeles Dodgers for RHP Jose De Leon.
1/23/17,Colorado Rockies signed free agent IF Nathaniel Coronado to a minor league contract.
1/24/17,Philadelphia Phillies traded RHP Severino Gonzalez to Miami Marlins for Player To Be Named Later.
1/24/17,Texas Rangers signed free agent 1B James Loney to a minor league contract and invited him to spring training.
1/24/17,Texas Rangers invited non-roster RHP R.J. Alvarez to spring training.
1/24/17,Texas Rangers invited non-roster RHP Ariel Jurado to spring training.
1/24/17,Texas Rangers invited non-roster RHP Jose Valdespina to spring training.
1/24/17,Texas Rangers invited non-roster C Patrick Cantwell to spring training.
1/24/17,Texas Rangers invited non-roster C Jose Trevino to spring training.
1/24/17,Texas Rangers invited non-roster OF Cesar Puello to spring training.
1/24/17,San Francisco Giants designated SS Ehire Adrianza for assignment.
1/24/17,San Francisco Giants signed free agent C Nick Hundley.
1/24/17,Los Angeles Angels signed free agent 3B Luis Valbuena.
1/24/17,Los Angeles Angels sent RHP Blake Parker outright to Salt Lake Bees.
1/24/17,Arizona Diamondbacks signed free agent C Josh Thole to a minor league contract and invited him to spring training.
1/24/17,Los Angeles Angels signed free agent OF Eric Young Jr. to a minor league contract and invited him to spring training.
1/24/17,Atlanta Braves signed free agent RHP Kris Medlen to a minor league contract.
1/24/17,Chicago Cubs signed free agent OF Todd Glaesmann to a minor league contract.
1/25/17,Oakland Athletics signed free agent SS Adam Rosales.
1/25/17,Oakland Athletics designated LHP Dillon Overton for assignment.
1/25/17,Oakland Athletics traded CF Brett Eibner to Los Angeles Dodgers for 3B Jordan Tarsovich.
1/25/17,Los Angeles Dodgers designated RHP Carlos Frias for assignment.
1/25/17,Atlanta Braves invited non-roster LHP A.J. Minter to spring training.
1/25/17,Atlanta Braves invited non-roster LHP Sean Newcomb to spring training.
